"","country","Region","year","population","life","gdp"
"268","Liberia","Sub-Saharan Africa","1810",313543,31.1,798
"269","Libya","Middle East & North Africa","1810",534730,33.1,1051
"270","Lithuania","Europe & Central Asia","1810",778655,28.9,1285
"271","Luxembourg","Europe & Central Asia","1810",127030,36.9,1455
"272","Macao, China","East Asia & Pacific","1810",21325,34.7,994
"273","Macedonia, FYR","Europe & Central Asia","1810",391865,36.1,691
"274","Madagascar","Sub-Saharan Africa","1810",1612106,30.5,574
"275","Malawi","Sub-Saharan Africa","1810",737000,30.3,350
"276","Malaysia","East Asia & Pacific","1810",287000,30.6,999
"277","Maldives","South Asia","1810",42378,32.647,844
"278","Mali","Sub-Saharan Africa","1810",1403398,26.408,603
"279","Malta","Europe & Central Asia","1810",134072,28.7,783
"280","Mauritania","Sub-Saharan Africa","1810",382696,32,528
"281","Mauritius","Sub-Saharan Africa","1810",78310,28.7,941
"282","Mexico","America","1810",6382317,26.9,1381
"283","Micronesia, Fed. Sts.","East Asia & Pacific","1810",16416,26.7,521
"284","Moldova","Europe & Central Asia","1810",712558,33.145,622
"285","Mongolia","East Asia & Pacific","1810",619000,31.8,593
"286","Montenegro","Europe & Central Asia","1810",126582,35.4,1059
"287","Morocco","Middle East & North Africa","1810",2595056,33.1,716
"288","Mozambique","Sub-Saharan Africa","1810",2038660,30.2778666666667,393
"289","Myanmar","East Asia & Pacific","1810",3506000,30.8,841
"290","Namibia","Sub-Saharan Africa","1810",229000,32.4,541
"291","Nepal","South Asia","1810",3881000,32.8,655
"292","Netherlands","Europe & Central Asia","1810",2293548,39.86,3927
"293","New Zealand","East Asia & Pacific","1810",1e+05,34.05,659
"294","Nicaragua","America","1810",219387,25.4,975
"295","Niger","Sub-Saharan Africa","1810",1244861,30.8,447
"296","Nigeria","Sub-Saharan Africa","1810",12100855,30.4,867
"297","Norway","Europe & Central Asia","1810",918398,36.4750060554194,1299
"298","Oman","Middle East & North Africa","1810",318000,32.3,917
"299","Pakistan","South Asia","1810",13385672,25.8,1020
"300","Panama","America","1810",78842,32.9,848
"301","Papua New Guinea","East Asia & Pacific","1810",754894,31.5,547
"302","Paraguay","America","1810",143000,35.5,836
"303","Peru","America","1810",1315575,35.7,1206
"304","Philippines","East Asia & Pacific","1810",1894389,30.9,964
"305","Poland","Europe & Central Asia","1810",9960687,35.9,1260
"306","Portugal","Europe & Central Asia","1810",3163489,35.6,1687
"307","Puerto Rico","America","1810",198271,30.43,1377
"308","Qatar","Middle East & North Africa","1810",14092,30.8,1139
"309","Romania","Europe & Central Asia","1810",5915097,35.7,817
"310","Russia","Europe & Central Asia","1810",31088398,29.5734571976521,1447
"311","Rwanda","Sub-Saharan Africa","1810",928368,31.8,437
"312","Samoa","East Asia & Pacific","1810",47220,25.4,1402
"313","Sao Tome and Principe","Sub-Saharan Africa","1810",22731,31,866
"314","Saudi Arabia","Middle East & North Africa","1810",2091000,32.1,852
"315","Senegal","Sub-Saharan Africa","1810",1009886,25.2,498
"316","Serbia","Europe & Central Asia","1810",2147197,35.5,1360
"317","Seychelles","Sub-Saharan Africa","1810",12522,37,824
"318","Sierra Leone","Sub-Saharan Africa","1810",794264,25.1,735
"319","Singapore","East Asia & Pacific","1810",30000,29.1,1023
"320","Slovak Republic","Europe & Central Asia","1810",2140651,36.4,1429
"321","Slovenia","Europe & Central Asia","1810",469664,36.6,1411
"322","Solomon Islands","East Asia & Pacific","1810",56998,25.1,364
"323","Somalia","Sub-Saharan Africa","1810",995738,29.4,700
"324","South Africa","Sub-Saharan Africa","1810",1494779,33.5,1482
"325","Spain","Europe & Central Asia","1810",11873298,29.5,1520
"326","Sri Lanka","South Asia","1810",1213000,32.6,899
