"","year","make","model","vclass","displ","tran","cyl","drive","fueltype","tcharger","scharger","guzzler","cty","hwy","cmb","pv","lv","country","z"
"2449",2011,"bmw","M3 Coupe","Subcompact Cars",4,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,20,16,89,11,"Germany","Subcompact Cars"
"2450",2011,"mercedes-benz","E350 Convertible","Subcompact Cars",3.5,"Automatic 7-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,25,20,80,6,"Germany","Subcompact Cars"
"2451",2011,"mercedes-benz","E550 Convertible","Subcompact Cars",5.5,"Automatic 7-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,17,80,6,"Germany","Subcompact Cars"
"2452",2011,"bmw","328i","Compact Cars",3,"Manual 6-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,28,22,93,12,"Germany","Compact Cars"
"2453",2011,"bmw","328i","Compact Cars",3,"Automatic (S6)","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,28,22,93,12,"Germany","Compact Cars"
"2454",2011,"bmw","328i xDrive","Compact Cars",3,"Manual 6-spd","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,25,20,93,12,"Germany","Compact Cars"
"2455",2011,"bmw","328i xDrive","Compact Cars",3,"Automatic (S6)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,26,20,93,12,"Germany","Compact Cars"
"2456",2011,"bmw","335d","Compact Cars",3,"Automatic (S6)","6","Rear-Wheel Drive","Diesel",TRUE,FALSE,FALSE,23,36,27,93,12,"Germany","Compact Cars"
"2457",2011,"bmw","335i","Compact Cars",3,"Manual 6-spd","6","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,19,28,22,93,12,"Germany","Compact Cars"
"2458",2011,"bmw","335i","Compact Cars",3,"Automatic (S6)","6","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,19,28,22,93,12,"Germany","Compact Cars"
"2459",2011,"bmw","335i xDrive","Compact Cars",3,"Manual 6-spd","6","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,19,26,22,93,12,"Germany","Compact Cars"
"2460",2011,"bmw","335i xDrive","Compact Cars",3,"Automatic (S6)","6","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,18,27,21,93,12,"Germany","Compact Cars"
